,text
2915,"Susie : While it 's hard to tie anything back to agile directly , I think our ability to keep up with customer demands globally is probably the biggest testament to what agile has made possible for us . Susie : However , it is hard to tie anything back to agile , but I think our ability to keep up with customer demands ."
2916,Agile is a great approach to almost any complex business process . It is a great approach to almost any complex business process .
2917,"To find out more about how Facebook , Moody 's Analytics , and CA are using agile as part of their content development , check out the full discussion here . To find out more about how it can be , Moody is Analytics , and CA are using agile here ."
2918,Last year we had the chance to hear from Jim Turcotte about his experiences with agile content development . Last year we had the chance to hear from Jim Turcotte about his experiences .
2919,"As the SVP Business Unit Executive at CA Technologies — a $ 4.5 billion software company and an Acrolinx customer — it 's an area that Jim knows well . This SVP will take Executive at California , Technologies , and Acrolinx ."
2920,"In fact , in his current role he oversees a team that supports approximately 3,000 developers , creating technical content for global audiences . In fact , in his current role , he oversees about a team that supports approximately 3,000 audiences for global audiences ."
2921,The Q & A below is adapted from Jim 's participation in a panel discussion on agile content development that Acrolinx hosted at the 2015 Intelligent Content Conference . It Acrolinx on Jim 's participation in Jim 's participation in a discussion .
2922,"Acrolinx Team : Let 's start with the basics , Jim . I Acrolinx Team : Let 's start with the basics , Jim ."
2923,What does agile mean to you ? What do mean to you ?
2924,"Jim Turcotte : Agile is all about rapid planning , development , and release . Jim Turcotte is all about rapid planning , development and release ."
2925,"Most people tend to think of agile in terms of software development , but it actually has a much bigger application . Most people tend to think of agile , but it actually has a much bigger application ."
2926,"In today 's world , you 've got to think more holistically about how your entire company can be agile . In today 's world , you have to think more about how your entire company can be agile ."
2927,It 's got to be an enterprise-wide endeavor that covers every aspect of the business — including your content development — helping you to work faster and become more efficient across the board . It has to be an issue that is all aspect of every aspect of the business — faster and become more efficient across across the board .
2928,AT : You mentioned doing things faster . You mentioned doing things faster .
2929,Why do you think velocity is so important ? Why do you think velocity is so important ?
2930,"JT : If you think about it , we live in an application economy . If you think about it , we live in an application economy ."
2931,Every company 's digital and mobile presence has become a big part of their brand loyalty . Everyone 's digital and mobile presence has become a big part of their brand loyalty .
2932,Just consider companies like Uber or any of the banking applications that have emerged . Just consider companies such as Uber or any of the banking .
2933,They 're driven by software and they 've practically appeared out of thin air to disrupt the marketplace . They are driven by software and have practically appeared out of thin air to disrupt the situation .
2934,I think velocity is important because things are moving so quickly as those examples illustrate . I believe it is important because things are moving so quickly as those examples do .
2935,"As a business , you 've got to do everything you can to keep up . As a business , you have to do everything you can keep up ."
2936,"That 's where agile comes in , but , to my earlier point , it ca n't just be your developers using agile . That is where agile comes in , but , to my earlier point , it can not just be your developers ."
2937,Your whole company needs to embrace it . Your whole company should embrace it .
2938,AT : How does velocity and being agile change the way that content gets created at CA Technologies ? How does agile velocity and being agile at CA ?
2939,JT : We 're moving toward what I call an Uber approach to creating technical content . We are moving toward what I call an Uber approach to creating technical content .
2940,"Basically that means that anyone in the enterprise who has knowledge can contribute to our technical content in some way , whether by actually writing , updating existing content , or simply doing QA . Basically that means that anyone in the enterprise can contribute to our technical content or simply writing content ."
2941,"Meanwhile our writers are now effectively serving as content curators , all of which has greatly improved our velocity . In the meantime , our writers are now in the same situation ; all of which has greatly problems ."
2942,"Plus , we 're moving toward continuous content . Also , we are moving toward continuous thoughts ."
2943,My writers do n't stop once the product goes out the door . My writers do not stop once the product goes out the door .
2944,That 's because we 've built analytics into the doc ops platform . That is because we have built it into the doctor Pro .
2945,What we want is real-time analytics . What we want is real-time .
2946,"In fact , we 're in the process of integrating machine learning so we can take analytics to a whole new level . In fact , we are in the process of integrating so we can take analytics ."
2947,"For example , we can look at every search a customer is executing and what UI screens they 're executing those searches from as well as any issues they 're encountering along the way . For example , we can look at every search a customer is making and what UI is executing those searches ."
2948,That allows us to create an instant heat map so that we can go in and take immediate action . That allows us to create an instant heat so that we can go in and take immediate action .
2949,That 's really key . It is really key .
2950,"You 've got to be able to recognize where customers are struggling and be able to take quick , tactical action to address their concerns . You have to be able to recognize where it is struggling , tactical to take quick , tactical to address there ."
2951,"AT : What has the reaction been at CA Technologies to your adoption of agile content development practices ? What has the reaction as had the reaction , `` You can Technologies to your adoption of agile , '' development ?"
2952,JT : We 're definitely getting positive feedback . The 're We 're definitely getting positive feedback .
2953,"From an external perspective , the reaction has been great because our customers like the functionality that we 've added , such as linking our technical content to our products contextually and making it language sensitive . This is a perspective , the reaction has been great because our technical content has been great because our technical language to our products contextually ."
2954,"Plus , folks like product management are blown away by the analytics because they 're suddenly getting greater insight into their customers . It is blown away because they 're suddenly getting away by the analytics because they 're suddenly getting greater insight into their customers ."
2955,And marketing is now using technical content as another pool in which to fish for customers . Free marketing is now using technical content as opposed to another pool .
2956,That 's because our content is optimized for search and it 's almost all open to the public . That 's because our content is optimized for search and it 's almost all open to the public .
2957,"People are finding it and , as a result , finding their way into our sales funnel . People are finding it , and it is a result , finding their way into our sales ."
2958,"AT : Sounds like you 're doing great things at CA Technologies , Jim . It sounds like you are doing great things at California ."
2959,Thanks so much for sharing some of your experiences . Thank you for sharing some of your time .
2960,"Editor 's Note : This post is based off of a presentation that Nataly Kelly , HubSpot 's VP of Marketing ( Localization ) , recently gave at Content Connections , Acrolinx 's online , virtual conference . I HubSpot at online , is based on a presentation that Kelly , HubSpot , and gave at Content ."
2961,"Held in November 2015 , the event attracted more than 2,000 content professionals from around the world . Even though in November 2015 , the event is attracted to November 2015 ; the event is attracted to the world ."
2962,It 's not always easy to get consistently good results when you work with vendors to translate your content . It is not always easy to get consistently good results when you work with vendors to translate your content .
2963,"A vendor might be really good at translating one particular language or type of content , for example , but not another . It may be really good at translating or type of content , but not another ."
2964,"As a result , you never know if you 're going to wind up with a piece of content that reads beautifully or one that sounds like it was slapped together with Google Translate . As a result , you never know if you are going to wind up with a piece of content that reads beautifully , that reads it slapped together with Google Translate ."
2965,"To be successful at content marketing for a global audience , that 's just not good enough . It is not good enough to be successful at content for a global audience ."
2966,"Fortunately , Nataly has devised a number of steps that you can take to help ensure that you get great results every time . I believe it has a number of steps that you can take to help , ensure that you can take great results ."
2967,"Fundamentally , she believes that the root of most translation quality issues is trust , and that you can get around those issues by following some simple advice . I believe that she believes that the root of most translation is trust , but that is the case ."
2968,"Vet agencies and translators carefully Finding and working with an agency is like `` taking a turn playing The Dating Game , '' says Nataly . I translators agencies and translators and translators ."
2969,You do n't ever know who 's on the other side of the wall and what exactly they 're doing . You do not ever know who is on the other side of the wall and what exactly they are doing .
2970,"Her advice is to do everything you can to break that `` wall '' down so that you get a better understanding of both how the vendor , and the translators they employ , work . Her advice is to do everything you can break that wall `` wall so they get a better understanding of both the things , and the translators they employ . ''"
2971,"For instance , she 's got the following suggestions : Ask for references or referrals . For instance , she has the following suggestions . Please ask for references or referrals ."
2972,Talk to marketers at the companies whose content you admire and see if they can refer you to anyone . You can talk to marketers at the companies whose content you admire and see if they can refer to you .
2973,"When you do , ask them what they like about their translation vendor and whether or not they think the vendor would be a good fit for your company . When you do , ask them what they like about their translation , and whether or not they think they would be a good fit for your company ."
2974,"Ask to see translators ' resumes . Please , you can ask to see what happened ."
2975,Do n't just assume the agency is picking the best candidates . Do not just assume the agency is picking the best .
2976,Ask for candidates ' resumes so that you can look to see if they have the qualities you look for when hiring employees . Ask for candidates resumes so that you can look for if they have the qualities you look for when hiring .
2977,"For example , do they have the right experience in your industry ? Do they have the right experience in your industry ?"
2978,Request sample translations . I believe sample can be found through it .
2979,The best way to get a clear indication of the quality of a translator 's work is to review some samples so that you know what to expect from them . The best way to get a clear indication of the quality of a translator is to review some samples .
2980,Get direct access to the translator . You can get direct access to the translator .
2981,Make sure that your vendor gives you open lines of communication and direct access to the translators so that there 's full transparency . You need to make sure you are open to open lines and direct access to the translators .
2982,"If the vendor is always the middleman , things can easily get lost in translation . If the weather is always the right things , things can easily easily get lost in translation ."
2983,"Beyond that , you 'll also want to understand the nature of the translator 's relationship with the vendor , such as how long they 've been working together and how many projects they 've collaborated on . That . You will also want to understand the nature of the translator 's relationship with the right relationship , such as how long they have been working on . How long they have been working on . How long ?"
2984,"In addition , Nataly recommends asking the following questions as part of the vetting process : Does the vendor have experience working on the specific type of content you need translated ? It is recommends recommends the following questions as part of the part of the content you need translated ."
2985,Do they have subject matter expertise and experience translating content in the same domain you 're working in ? Do they have any subject expertise and experience it in the same way that you are working in the same way that you are working ?
2986,Do they have experience translating into your desired language ? Do they have time in your desired language ?
2987,"( Note , they 'll always answer yes , so you 'll want to know how much experience they have . Note : they will always answer yes , so you will want to know how much experience they have ."
2988,Ask about volume and frequency . ) Please ask about volume volume and remember .
2989,Do they already handle projects with the countries you 're marketing to ? Do they already get projects with the countries to ?
2990,Can they support any technology you might be using ? Can they support any technology you might be using ?
2991,"Is the vendor easily accessible , not just in your time zone , but also in the time zones where your stakeholders are located ? It is the problem easily , can you not just in your time zone ?"
2992,"Once you 've done your due diligence and selected a vendor you 're confident with , it 's time to take some additional steps on your side to help ensure you get a great result . Once you have done your due , you are confident with your side to help , it is time to take some advice on your side to help ensure you get a great result ."
2993,"Context and quality source content are key When it comes to translations , there 's a lot of truth to the old adage `` garbage in , garbage out . '' If it comes to translations , there are a lot of truth to the old adage garbage ."
2994,"One of the best ways to improve the quality of your translations is by improving the quality of your source content and giving your translators the context they need to do their job effectively . In my opinion , the quality of your job is by improving the quality of your job and giving your translators ."
2995,"To do so , Nataly has a few suggestions : Write up a clear description of your target audience and pass that along to the translator . To do so , it has a few suggestions : Look up a clear description of your target audience and pass the translator to the translator ."
2996,This will give the translator a better picture of who they 're translating for so that they can tailor their efforts . This will give the translator a better photo of who they are translating for .
2997,"Always explain the purpose of the content to the translator so that they know exactly what it 's intended to communicate . Always explain the purpose to the translator , so they know exactly what it is intended to communicate ."
2998,"The more context they have , the more effective they 'll be at the task at hand . The more possible thing they have , the more effective they will be at the task at hand ."
2999,Define any company-specific terms and acronyms that you use so that the translator can find the right equivalents as appropriate . I believe any terms in this situation can be found in any way you use so that the translator can find the correct spelling .
3000,Make sure that you highlight any terms you do n't use too so they know what to avoid . Make sure that you highlight your ability to highlight any terms you choose .
3001,Train source content writers to write with translatability in mind . Teach source of content writers to write translatability in mind .
3002,"That means using shorter sentences , avoiding colloquialisms , and doing everything else you can to ensure the writing is clear and concise . Do everything else using avoiding sentences , avoiding colloquialisms and doing everything you can ensure ."
3003,"Focus on planning more than process Nataly 's last bit of advice is to really be focused on the planning piece of your translation efforts , rather than getting hung up on just the process . Focus on planning more than process more than process more than process the planning piece of advice ."
3004,"For her that means having all of your ducks in a row , which includes things like sharing your goals with your vendors and having clearly defined expectations so that everyone is on the same page . That means having all of your ducks in a row , which includes things like sharing your goals ."
3005,"She 's also a fan of having detailed company style guides and glossaries , scheduling regular communication as part of an overall translation plan , and establishing a robust network of reviewers who are native speakers in each language you 're working in and can review translations to ensure their quality . I have detailed detailed company of a detailed detailed detailed company of having detailed company , and I can understand their quality in part of their quality . It can occur to ensure you are working in and can review their quality ."
3006,"Ultimately , Nataly believes that the key to getting great results when working with translators is building a strong relationship with them that 's based on trust . I believe Nataly believes that the key to getting great results is building a strong relationship ."
3007,"With that as a foundation , she has found that the chances of consistently achieving positive outcomes increases exponentially . As with that as a foundation , she has found that the chances of consistently positive outcomes ."
3008,"If there 's one time of year when we all fumble around to find just the right words , it 's on Valentine 's Day . If there is one time of year when we all can find just the right words , it is on Valentine 's Day ."
3009,That 's because it 's the one day when we all go out of our way to express how we feel about the person we love . That is because it is the one day when we all go out of our way to express how we feel about the person we love .
3010,"While it 's the sentiment behind our words that matters most , getting the actual words right is pretty important too . While it is the sentiment behind our words that matters most , that matters most ."
3011,All the more so when they 're in print because -- let 's face it -- typos are a turn off . It is a turn off if they 're in print because of the more .
3012,"If a well-written Valentine can help set the mood , one filled with mistakes can kill it just as easily . If a problem Valentine can help set the mood , one filled with mistakes can kill it just as easily ."
3013,"After all , your writing always makes an impression . After all , you are writing always makes a impression ."
3014,It does n't matter whether we 're talking about the marketing content you create for your customers or the love letter you 're planning to write to your significant other . It does not matter whether we are talking about the marketing content you are planning to write to your significant significant other .
3015,"That 's why , in honor of Valentine 's Day , we want to share some funny examples of Valentine 's Day fails that just go to show you language matters . That is why , in honor of Valentine 's Day , we want to share some funny examples of Valentine 's Day matters ."
3016,We 're pretty sure that the people who received these Valentine 's messages were n't too impressed . We are pretty sure that the people who received these Valentine 's messages were not impressed .
3017,"Loev ≠ Love We do n't know who decorated this cake , but you 've really got to be in love to overlook a typo like that . It 's hard to be in love , but we have actually been in love to overlook a typo ."
3018,Hopefully the taste made up for the misspelling . I hope the taste made up for the taste .
3019,Mine or Mime ? Do you have any suggestions ?
3020,"Unless this cookie is for Charlie Chaplin , that 's definitely a typo . Unless this cookie is definitely a typo , it is a typo ."
3021,Maybe it was decorated by the same baker as the last one ? Maybe it was decorated by the same baker ?
3022,Your vs. You 're Who would n't want to be told they 're awesome on Valentine 's Day ? Your birthday is Who would n't want to be told they are awesome on Valentine 's Day ?
3023,"Of course , whoever created this gem sure is n't . Who created this gem is not ?"
3024,"What a Difference a Letter Can Make Oh , that just hurts . The Difference is named Letter ."
3025,Whoever typed up this lovely sentence probably should have checked twice before hitting print . Whoever lovely up this lovely sentence probably should have checked twice before hitting print .
3026,What the ... ? What in the world ?
3027,Nice balloon ! Great balloon .
3028,"Too bad when you read the whole thing you realize it does n't make much sense at all . Too bad when you read the whole thing , you realize it does not make much sense ."
3029,"Mind the `` s '' This Valentine 's Day card says it all , including that the company that made it does n't believe in proofreading . Understand the Day card says it all , including the company that made it does not believe in proofreading ."
3030,Does Size Matter ? Does Size attraction matter ?
3031,"We do n't care how huge you are , you 're not getting any hugs if you ca n't spell a three-letter word correctly . We do not care how much you are . You are not getting any hugs if you can not spell a three-letter correctly ."
3032,"So on this Valentine 's Day , we want to let you know that Acrolinx has got your back . So on this Valentine 's Day , we want to let you know that Acrolinx has got your back ."
3033,"To avoid blunders like these , try running your Valentine 's notes through our content optimization software so that you can avoid embarrassing mistakes and become the Romeo ( or Juliet ! ) To avoid these , try running your Valentine 's notes through our content optimization so you can avoid mistakes and become the Romeo ."
3034,you 've always wanted to be . You have always wanted to be .
3035,"When it comes to producing content in multiple languages , machine translation is where it 's at . When it comes to producing content in multiple languages , a machine translation is located ."
3036,"That 's because it 's often a faster , more cost-effective process . That is due to the fact that it is often a faster , more occurrence ."
3037,"In fact , depending on the language and complexity of the content , machine translation can often result in between a 10 percent and a 100 percent increase in productivity . Depending on the language , it depends on the language and can often result in the content of the content ."
3038,That means greater efficiency and lower costs . That intales a sufficient issue and simple cost .
3039,"Of course , as with creating any document for translation , the trick to keeping your costs down is making sure that your source content is really good . With creating any document for translation , the trick to keeping your costs down is making sure your source is really good ."
3040,"Fundamentally , the way that machine translation works is pretty simple . The way that machine translation works is pretty simple ."
3041,"Powerful machine translation engines ( think Moses or MS Hub ) churn through your content , rendering it into the foreign language of your choosing . Moses or MS 182 . I believe Moses or MS It is a foreign language of your choosing ."
3042,"Once completed , human editors then assess the quality of the translation and complete any post-editing that 's required . Once completed the quality of human editors , then assess the quality of the translation and complete any post-editing ."
3043,"The better your source content , the better the machine translation will be . The better your source translation is The better the machine translation will be ."
3044,"That in turn means less time spent post-editing and a lower overall cost for the service . In turn less time , it is less time spent for the service ."
3045,"That 's why it 's important to make sure that your content is written with translation ( and , let 's be honest , quality ) in mind . That is why it is important to make sure that your content is written with translation , and let us be honest ."
3046,"Among other things , that means keeping your sentences short , avoiding jargon , using terminology consistently , and adhering to basic standards around grammar and style . The bands , The other things , that means keeping your sentences short , avoiding your sentences and style ."
3047,Not a big ask if you 're creating one piece of content . You should not ask if you are creating one piece of content .
3048,"If , however , you 're translating thousands of documents across offices , departments , and geographies , it 's no small feat . If you are thousands of documents across offices , departments is no small feat ."
3049,"To learn more about this topic , we recently invited Welocalize — one of the largest translation companies in the world responsible for translating 2.6 million words each day into 157 different languages — to lead one of our webinars . We recently invited more about this topic ; we recently invited Welocalize in our world responsible for translating ."
3050,"During the presentation , speakers Olga Beregovaya ( Vice President Technology Solutions , Welocalize ) , Elaine O'Curran ( Program Manager , Language Tools , Welocalize ) , and Peter Beargie ( Senior Sales Engineer , Acrolinx ) explained machine translation and the valuable role that a content optimization platform like Acrolinx can play in helping you prepare your content for translation . Even though the presentation is content in the presentation , speakers can do so , Elaine , Welocalize , and Peter Sales - Senior Sales ."
3051,"By watching the webinar , you 'll also learn the secrets to better machine translation . I believe you will learn the secrets to better machine translation ."
3052,"Plus , you 'll hear some of the best practices from Welocalize 's latest research where they evaluated the impact of content optimization and pre-editing for machine translation across a wide range of source texts and styles . Also , you will hear some of the best practices from where they evaluated of content and pre-editing ."
3053,You might just be surprised by the results . You may be surprised by the results .
3054,"To find out more , you can watch the full webinar by clicking here . To find out more , you can watch the full it by clicking here ."
3055,"Editor 's Note : This post is based off of a presentation that Doug Kessler , Co-Founder and Creative Director at Velocity Partners , recently gave at Content Connections , Acrolinx 's online , virtual conference . Even though Partners is based on a presentation off of a presentation that Doug Kessler is presentation ."
3056,"Held in November 2015 , the event attracted more than 2,000 content professionals from around the world . Even though in November 2015 , the event is attracted to November 2015 ; the event is attracted to the world ."
3057,Let me start this post with a quick story . Let me begin this post with a quick story .
3058,One of the things we like to do at Velocity Partners is take our team away for the weekend . We like to do at Velocity is take our team away for the weekend .
3059,"A recent trip had us going to Rome , and I was in charge of finding a restaurant for dinner . I had a recent trip to Rome , and I was in charge of finding a restaurant for dinner ."
3060,"After poking around on TripAdvisor , I identified and reached out to what I thought sounded like some promising options . After poking around on , I identified as a promising options ."
3061,"Of the restaurants that responded one really stood out , though not for the reasons you might think . Of the restaurants that responded one really stood out , though not for the reasons you might think ."
3062,The woman who wrote me started off by pointing out why her restaurant might not be the ideal choice . The woman who wrote me started off by upsetting me by pointing out why her restaurant might not be the ideal choice .
3063,"We were looking for a private room for the dinner , which she went to great lengths to explain she could n't really provide . We were looking for a private room for the dinner , which she went to great lengths to explain she could n't provide ."
3064,"We needed some vegetarian options , which she was quick to point out was n't their specialty . We needed some vegetarian options . It was not their specialty ."
3065,What I liked about the woman was that she was proactively being honest . What I liked about the woman was that she was proactively .
3066,"Really honest . Honestly , honest ."
3067,It caught my attention because it signaled two things to me . It caught my attention because it can two things to me .
3068,"First , she clearly did n't want us to be disappointed and was more concerned with our having a great time than making a quick buck . First , she did not want us to be disappointed and was more concerned with our having a great time than making a quick time ."
3069,"The second thing was that I was convinced that anything positive she had to say about her restaurant — great seafood , an excellent wine list — had to be true . The second thing was that I was thinking that anything positive she had to say about her restaurant , a great wine list , had to be true ."
3070,"If they were n't , she was so honest that she would have told me so . If they were not , she was so honest that she had told me so ."
3071,"As it turns out , I wound up choosing this restaurant and we went and had a great meal and a fantastic time . As it turns out , I wound choosing this restaurant and we had a great meal and a fantastic time ."
3072,It was her honesty that cinched the decision . It was her honesty that cinched .
3073,When Being Insanely Honest Can Be Insanely Smart The point of that story is that being honest is incredibly powerful . When Insanely is Honest . The point of that story is that being honest is incredibly powerful .
3074,"To be clear , I 'm not talking about normal honesty ; you know , where you 're just ethical and professional . To be clear , I am not talking about normal honesty , you know where you are and professional ."
3075,I would hope that 's table stakes . I hope that 's table stakes .
3076,"I 'm talking about being insanely honest , and that 's different . I am talking about being honest and honest ."
3077,"Insane honesty is a choice , and once you 've made it you really have to go out of your way to do it . honesty is a choice , honesty is a choice , and once you have made it you really have to go out of your way to do it ."
3078,"That 's because you 've not only got to actively seek out your weaknesses , but also be prepared to share them openly . That is because you have not had to understand your weaknesses , but also be prepared to share them openly ."
3079,"It 's an odd thing for marketers and salespeople to think about , but we all should be . It is an unusual thing for marketers and to think about , but we all should be ."
3080,"After all , what could be better than signaling to your target audience that you care more about their success than your own short-term revenue ? What can be better than signaling in their target audience ?"
3081,What could be more impactful than for your target audience to know that they can trust everything you say because you 've been upfront and honest about your weaknesses ? What could be more of it than for your target audience to know that they can trust everything you say ?
3082,It 's pretty powerful . It is pretty powerful .
3083,"6 Reasons Why You Should Put Your Worst Foot Forward Of course , to reap the benefits of insane honesty , I think you 've got to take it a step further by baking it into your marketing and your content . Young reasons , why should you put your instinct in order to reap , to reap about the benefits of the benefits and your content ."
3084,"Put a spotlight on your weaknesses , and acknowledge what you do n't do well or who your product or service really is n't for . If you put a spotlight on your weaknesses , and acknowledge that you do n't do well or who your product is for ."
3085,"In other words , I 'm advocating that you put your worst foot forward . In other words , I am guessing that you put your worst foot forward ."
3086,"That sounds insane , right ? That sounds insane , does that sound silly ?"
3087,Why would it possibly work ? Why would it work ?
3088,Here are six reasons : It surprises and charms . Here are six reasons . It surprises and charms .
3089,"People expect typical marketing , so when you use insane honesty you 're breaking that convention . People expect typical marketing , so when you use insane honesty , you are breaking that convention ."
3090,"That gets their attention and , as we all know , attention is pretty much the gateway drug of content marketing . That gets their attention and as we all know , attention is the content drug of content ."
3091,"It 's critically important and using the element of surprise that insane honesty provides is one of the best ways to get it . It is critically important and using the element of surprise that insane , honesty is one of the best ways to get it ."
3092,"Plus , it makes you more charming . Also , it makes you more charming ."
3093,"People do n't like braggarts , they like people who are self-effacing . People do not like people who are self-effacing ."
3094,The same holds true for brands . The same holds true for brands .
3095,It signals mojo . This signals it is .
3096,Mojo is a huge and totally undervalued force in marketing . I like an immense amount and believe in marketing .
3097,"I see it as being a combination of confidence ( being good at what you do and knowing it ) , attitude ( having a point of view and being willing to take a stand ) , and energy ( being passionate and believing that what you 're writing matters ) . I see it being a combination of confidence ( being good at what you do ) and knowing it , attitude is passionate and believing that what you are writing matters ."
3098,"Insane honestly gives your content the big injection of mojo that it needs . Most likely , Insane honestly gives your content the big one of mojo ."
3099,It builds trust . It builds trust .
3100,Trust is so important in marketing . Trust is the purpose of marketing .
3101,"Yet when most of us see marketing , no matter what form it takes , our defenses immediately go up . When most of us see marketing marketing , no matter what form of the situation , it does n't matter immediately ."
3102,"Fortunately , insane honesty provides the antidote to that problem . Believe it , insane honesty provides the effort to that problem ."
3103,It alienates your less likely buyers . It can happen if you are less likely .
3104,"That may sound like a bad thing at first , but it 's actually not . That may sound like a bad thing at first , but it is not ."
3105,"If you think about how expensive sales and marketing efforts are , particularly in B2B , alienating your less likely buyers is a good thing . If you think about how expensive and marketing efforts are particularly in B2B , B2B is a good thing ."
3106,"It means not having to waste time and budget on people who either are n't ever going to buy from you , or who will just be unhappy as soon as they do . It means not having to waste time and budget on people who are not ever going to buy from you or who will be unhappy ."
3107,It attracts your ideal prospects . It attracts you to your ideal path .
3108,An ideal prospect is someone who really values your strengths and does n't care about your weaknesses . An ideal prospect is someone who truly values you and does not care about your weaknesses .
3109,"By being insanely honest , you 'll be much more likely to find those great customers . Be insanely . You will be much more likely to find those great , I 'm not sure ."
3110,It focuses you on battles you can win . It matters on battles that you can win .
3111,This last point is really a bit of summary of the ones above . This last point is quite a bit of summary .
3112,Being insanely honest means no longer trying to be all things to all people . Being insanely means no longer trying to be all people .
3113,"It 's about accepting who you are and recognizing that when you do so , those customers and prospects who you 're right for will see that you really are the best choice for them . It 's about accepting who you are and recognizing that when you do so , those you really are the best choice for them ."
3114,So my advice is to get out there and try being insanely honest . My advice is to get out there and try being insanely .
3115,Maybe you start internally just by writing it down and seeing what that feels like . Perhaps you begin with it by writing it down and see what feels like .
3116,"When you 're ready , try publishing it and see what happens . When you are ready , try publishing ."
3117,"They say honesty is the best policy and , when it comes to content marketing , nothing could be more true . They say honesty is the best policy when it comes to content marketing . Nothing could be more true ."
3118,Editor 's note : This is the third post in a series about why CMOs need to become publishers . It 's the third post in a series about why CMOs is the third post in a series .
3119,"We 've written it to highlight some of the key findings cited in a new report from Forbes entitled `` Publish or Perish : A CMO Roadmap for Managing , Systematizing and Optimizing the Marketing Content Supply Chain . '' It Chain to highlight some of the key , findings , in a new report and findings ."
3120,The previous post in this series was about why managing the growing cost and complexity of content operations is a critical business issue . The previous post in this series was about why managing is about why managing is a critical business issue .
3121,"To produce , manage , and distribute content successfully at scale , marketers need to rethink their content operations and start acting like publishers themselves . I marketers to produce , and manage , and distribute content , but successfully distribute content in their content , marketers ."
3122,"This , according to a new report from Forbes , is the only way that they can begin to reduce costs while also enhancing the performance of their publishing efforts . In a new report from a new report , is the only way that they can begin to reduce the performance of their are enhancing ."
3123,"Key to doing so , the report finds , is simplifying , streamlining , and automating their publishing processes as much as possible . It is simplifying to doing so , the report finds it is simplifying , and automating ."
3124,The good news is that many of the marketing executives consulted for the report are already actively trying to adopt or import business practices from the publishing and media industries . The good news is that many of the marketing things are consulted from the report and import industries .
3125,"They 're even setting up editorial management systems . They are even setting up , understand ."
3126,"In fact , over 80 percent of the marketers surveyed report that they are working with their peers in sales , IT , HR , and finance to `` establish editorial organizations and systems to support the planning , governance and distribution of content . '' In fact , over 80 percent of the marketers , surveyed that they are working with their peers , HR and to support the planning ."
3127,"Many marketers are also looking to other industries to find new ways to manage content operations . There are also looking to other industries to find new ways , although many things can happen ."
3128,"Despite this progress , the report found that most marketing executives are n't taking enough steps to simplify and streamline their marketing operations . Whoever progress is wrong . The report found most marketing is not taking enough steps to simplify and streamline ."
3129,"For example , the majority of survey respondents report that they do not yet have the basic publishing systems , processes , skills , and structures in place to support the optimization of content at scale , including : An executive who owns the content process and is responsible for the business outcomes . For example , the majority of can not report that they do not yet have the basic ; publishing , they do not have the basic publishing , and structures in place to support the content of the content of the business ."
3130,A universal taxonomy to effectively target and provide personalized experiences . It is a universal matter to certain things and provide personalized experiences .
3131,Systems and structures to ensure that customer conversations reinforce value messages . It 's hard to ensure messages .
3132,"A central content repository to manage and control content quality , compliance , and relevance . A central content repository to manage and control content quality , compliance ."
3133,A roadmap to ensure that the sales and marketing technology supports the end-to-end publishing process . It is difficult to understand that the sales and marketing technology supports the situation .
3134,"As a result of gaps like these , publishing remains a time- and resource-consuming challenge at many organizations . It is not possible to do this , but it is publishing of having sex and it is a challenge ."
3135,"Our Perspective To publish successfully at scale , you 've got to be well organized and have great processes , systems , and tools in place for every step along the way . For every step , our address is To publish successfully at scale ."
3136,"That starts with having the right platform to help you create great content , but also extends to other areas as well , such as content distribution and measurement . This begins with having the right , but platform platform create great content , but also extends ."
3137,"Just to be clear , if you 're a small company with a finite number of content creators producing a small amount of content , you can probably get to better outcomes by simply developing and adhering to more efficient processes . Just to be clear , if you are small with a finite of content producing a small amount of content creators producing a small amount of content , you can probably get better ."
3138,"You can also create your own tools , such as company style guidelines , and rely on free ones like Buffer and Google Analytics to help you distribute and measure your content . You can create your own tools , such as company style , such as company style , and rely on free ones to help you distribute and distribute your content ."
3139,And that 's just the tip of the iceberg . That is the tip .
3140,"But , when you get to be a large organization — one with dozens or even hundreds of content creators working across a variety of geographies and languages — your challenges become exponentially more difficult , which is why you 'll need more sophisticated tools to support your efforts . But when you get to be a large , organization one with dozens or even hundreds of content to support your efforts , which is why you 'll need more sophisticated tools to support your efforts ."
